EAN-13,Descricao,Cod.Prod,Validade,Info.nutricional
3000001306641,SALSAO AIPO FRESH&GOURMET 300gPR,13066-4,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001301769,SALSAO AIPO FRESH&GOURMET 300gPR,13017-6,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001305750,MIX PIMENTAO FRESH&GOURMET 300g PR,13057-5,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001306306,PEPINO JAPONES FRESH&GOURMET 200g PR,13063-0,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001307020,VAGEM FRESH&GOURMET 300g PR,13070-2,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001300441,MIX FRUTINHA KIDS 2 350G,13004-4,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001300793,MIX FRUTINHA KIDS 3 350G PR,13007-9,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030747811,AGUA DE COCO FRESH&GOURMET 300ml PR,307478-1,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030747149,POLPA DE MARACUJA FRESH&GOURMET 300ml PR,307471-4,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030745879,ABACAXI PEROLA FRESH&GOURMET P 480g PR,307458-7,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001310402,GOIABA FRESH&GOURMET 480g PR,13104-0,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746098,KIWI IMP. FRESH&GOURMET P 250G PR,307460-9,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030745954,MANGA PALMER FRESH&GOURMET P 500g PR,307459-5,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746258,MANGA TOMMY FRESH&GOURMET P 500g PR,307462-5,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746418,MELANCIA FRESH&GOURMET P 400g PR,307464-1,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746845,MELAO AMARELOFRESH&GOURMET P 420g PR,307468-4,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746760,MELÃO CANTALUPE FRESH&GOURMET P 500g PR,307467-6,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746920,MELAO GALIA FRESH&GOURMET P 400g PR,307469-2,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001310594,MELAO ORANGE FRESH&GOURMET 480g PR,13105-9,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030747064,MORANGO FRESH&GOURMET P 220g PR,307470-6,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001307617,ABACAXI PEROLA FRESH&GOURMET G 580g PR,13076-1,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746173,MAMAO FORMOSA FRESH&GOURMET G 520g PR,307461-7,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746333,MELANCIA FRESH&GOURMETG 500g PR,307463-3,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746685,MELAO AMARELO FRESH&GOURMET G 500g PR,307466-8,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
